title,price,link
"HP ZBook 15 G2 Mobile Workstation Intel Core i7 - 4810MQ X4 2.8GHz 8GB 256GB SSD 15.6"" Win10, Black - Like New Laptops","Rs. 57,999",//www.daraz.pk/products/hp-zbook-15-g2-mobile-workstation-intel-core-i7-4810mq-x4-28ghz-8gb-256gb-ssd-156-win10-black-like-new-laptops-i479450039.html
Used Chromebook Laptop 11-3120 P22T 11.6 Inches Intel Celeron N2840 2.16GHz  4GB RAM 16GB SSD Chrome OS with Charger,"Rs. 10,499",//www.daraz.pk/products/11-4gb-ghz-n2840-4gb-16gb-ssd-os-i496915185.html
"HP Envy 16 H1023dx - Raptor Lake - 13th Gen Core i9 13900H (14 Cores) Processor 16GB 1-TB SSD 8-GB NVIDIA GeForce RTX4060 GDDR6 GC 16"" WQXGA IPS 120Hz Touchscreen Display B&O Play Backlit KB W11 (Natural Silver, NEW)","Rs. 253,000",//www.daraz.pk/products/hp-16-h1023dx-13th-i9-13900h-14-16gb-1-tb-ssd-8-gb-nvidia-rtx4060-gddr6-gc-16-wqxga-ips-120hz-b-o-kb-w11-i489704840.html
HP ProBook 440g2 Core i5-4th 4Gb Ram  500gb,"Rs. 39,000",//www.daraz.pk/products/hp-440g2-i5-4th-8gb-500gb-i391434604.html
"Like New Laptops - Apple MacBook Air A1466 Early 2015 With 1.6GHz Intel Core i5 (13.3 inch, 4GB RAM, 128GB) Silve","Rs. 57,999",//www.daraz.pk/products/like-new-laptops-apple-macbook-air-a1466-early-2015-with-16ghz-intel-core-i5-133-inch-4gb-ram-128gb-silve-i397126998.html
"Like New Laptops HP EliteBook 840 G2 Core i5 – 5th Gen., 8GB Ram,256GB SSD, 14″ Display Window 10","Rs. 46,999",//www.daraz.pk/products/like-new-laptops-hp-elitebook-840-g2-core-i5-5th-gen-8gb-ram256gb-ssd-14-display-window-10-i471509339.html
"HP EliteBook 840 G1 Notebook PC Intel Core i5 4th Gen, 8GB DDR3 Ram, 500GB Hard Drive, 14.1"" Intel HD Display, Intel HD Graphics","Rs. 39,000",//www.daraz.pk/products/hp-840-g1-4th-i5-8gb-ddr3-500gb-141-hd-hd-i540229628.html
6Pc Cute Koi Chinese Style Retractable Gel Pen Black Ink Signature Writing Pen For School Office Kawaii Stationery Гелевая Ручка,"Rs. 3,406",//www.daraz.pk/products/6pc-cute-koi-chinese-style-retractable-gel-pen-black-ink-signature-writing-pen-for-school-office-kawaii-stationery-i536893707.html
Apple MacBook Air MLY33 (Mid Night) – M2 Chip 8-core CPU 8GB 256GB SSD 13.6,"Rs. 365,000",//www.daraz.pk/products/mly33-m2-8-cpu-8gb-256gb-ssd-136-i364571578.html
"CTL Chromebook PX11EG | 4GB RAM DDR4 | 32 GB eMMC | 11.6"" Display size","Rs. 90,000",//www.daraz.pk/products/ctl-chromebook-px11eg-4gb-ram-ddr4-32-gb-emmc-116-display-size-i487129056.html
Lenovo N21 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM - Upto 5 Hour Battery,"Rs. 11,500",//www.daraz.pk/products/n21-116-4-gb-16-gb-5-i269172699.html
Hp Elitebook 820 G3 - Core i5 6th Generation - 16GB DDR4 RAM - 128GB SSD - 500GB HDD -12.5inch Screen - FREE LAPTOP BAG (Windows 11 Licensed) - Daraz like new laptops,"Rs. 47,999",//www.daraz.pk/products/hp-elitebook-820-g3-core-i5-6th-generation-16gb-ddr4-ram-128gb-ssd-500gb-hdd-125inch-screen-free-laptop-bag-windows-11-licensed-daraz-like-new-laptops-i376744134.html
"Lenovo ThinkPad T470 Ultra Book Core i5 7th generation, 8GB DDR4 Ram 256GB Solid State Drive SSD 14.1"" FHD Led Display Intel HD Graphics","Rs. 53,999",//www.daraz.pk/products/t470-7th-i5-8gb-ddr4-256gb-fhd-led-hd-i539921403.html
"Samsung Chromebook 500C - Celeron processor - 4gb Ram - 16GB SSD - 11.6"" screen - Playstore supported","Rs. 9,999",//www.daraz.pk/products/samsung-chromebook-500c-celeron-processor-4gb-ram-16gb-ssd-116-screen-playstore-supported-i524249077.html
Apple MacBook Pro 2012 | 128GB Storage SSD | 8GB RAM | 2.5GHz Dual-Core Core i5 | Mid 2012 | 13.3-inch LED Display | Dual Operating System MacOS & Windows 10 | Silver,"Rs. 42,999",//www.daraz.pk/products/apple-macbook-pro-2012-128gb-storage-ssd-8gb-ram-25ghz-dual-core-core-i5-mid-2012-133-inch-led-display-dual-operating-system-macos-windows-10-silver-i470938707.html
Lenovo N22 Chromebook – 11.6″ –  4GB/16GB– With Play Store - PUBG Supported,"Rs. 12,500",//www.daraz.pk/products/n22-116-4gb16gb-pubg-i267139511.html
Dell Latitude E6540 Core i7-4th Gen 8gb Ram 128gb SSD,"Rs. 52,000",//www.daraz.pk/products/e6540-4th-i7-8gb-128gb-ssd-i379717985.html
"V15 G3 Intel Core i5-1235U 8GB Soldered DDR4 512SSD Integrated Intel Iris Xe Graphics functions as UHD Graphics|15.6"" FHD (1920x1080) TN 250nits Anti-glare,|High Definition (HD) Audi|5.5 hr |Black|Dos","Rs. 165,999",//www.daraz.pk/products/v15-g3-intel-core-i5-1235u-8gb-soldered-ddr4-512ssd-integrated-intel-iris-xe-graphics-functions-as-uhd-graphics156-fhd-1920x1080-tn-250nits-anti-glarehigh-definition-hd-audi55-hr-blackdos-i372590921.html
"MSI Katana 15 B13VFK (RTX 4060, GDDR6 8GB)- Lake i7-13620H- DDR5 16GB, 1TB NVMe PCIe SSD- 15.6″ FHD, 144Hz- 1473","Rs. 467,499",//www.daraz.pk/products/msi-katana-15-b13vfk-rgb-fhd-156-msi-2-i517573658.html
360° Wide Angle Anti Spy Privacy Protection Tempered Glass for iPhone 15 14 13 12 11 Pro XR XS Max Anti Peeping Screen Protector,"Rs. 3,891",//www.daraz.pk/products/15-14-13-12-11-360-i533430963.html
Lenovo N22 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store  - PUBG Supported,"Rs. 11,800",//www.daraz.pk/products/n22-116-4-gb-16-gb-pubg-i222051445.html
1/2PCS 60×75cm Painting By Numbers Flowers Girl Paint By Number Figure On Canvas Home Decoration Gift Wall Art Picture,"Rs. 3,809",//www.daraz.pk/products/12-6075-i537041648.html
Surface Pro 3 - Core i3 4th Generation - 4GB DDR3 RAM - 64GB SSD - 12Inches Touchscreen - Dual Cam - Windows 10 Activated,"Rs. 25,500",//www.daraz.pk/products/surface-pro-3-core-i3-4th-generation-4gb-ddr3-ram-64gb-ssd-12inches-touchscreen-dual-cam-windows-10-activated-i356184766.html
"Lenovo IdeaPad 5 Intel Core i7-1255U 16GB DDR4-3200 512GB SSD M.2 15.6"" FHD (1920x1080) IPS NVIDIA® GeForce MX550 2GB Backlit,English (UK) Dos (1 Year Warranty)","Rs. 212,999",//www.daraz.pk/products/lenovo-ideapad-5-intel-core-i7-1255u-16gb-ddr4-3200-512gb-ssd-m2-156-fhd-1920x1080-ips-nvidia-geforce-mx550-2gb-backlitenglish-uk-dos-1-year-warranty-i436317326.html
